epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.23867652015686,47.32,85.56,2.2394468173980715,62.4875,98.1625
2,2.0928818286895754,76.32,98.52,2.175532444000244,75.75,99.1625
3,1.955794093132019,78.7,99.1,2.1144030265808107,78.95,99.2875
4,1.8307094875335694,80.2,99.14,2.0573978023529054,79.7375,99.325
5,1.712966128540039,80.74,99.16,2.0034180030822752,79.475,99.325
6,1.6091594816207886,80.82000000000001,99.18,1.9523463973999022,79.57499999999999,99.3
7,1.5115610223770142,80.94,99.26,1.9046716756820679,79.3875,99.2875
8,1.4153708534240723,81.26,99.32,1.8572627630233765,79.9375,99.2625
9,1.336933927154541,81.04,99.26,1.815097327232361,79.7,99.225
10,1.2672981122970581,81.69999999999999,99.18,1.7770221939086914,79.5875,99.175
11,1.2031101558685302,82.44,99.38,1.7408404541015625,79.675,99.2
12,1.1470788984298705,81.39999999999999,99.24,1.706960210800171,79.95,99.2
13,1.0925416803359986,82.24000000000001,99.32,1.6728482570648193,80.16250000000001,99.2
14,1.04535007686615,81.82000000000001,99.14,1.6424105081558227,80.22500000000001,99.2125
15,1.0020886152267456,82.44,99.36,1.6137052478790284,80.30000000000001,99.2
16,0.9616574898719787,82.58,99.48,1.5877059564590454,80.2875,99.2125
17,0.9207497631072998,82.72,99.36,1.5602429485321045,80.45,99.2125
18,0.8999906936645508,82.36,99.3,1.5393530073165893,80.4125,99.2
19,0.8730637706756592,83.0,99.32,1.5179570751190186,80.425,99.25
20,0.8397495670318603,82.98,99.24,1.4954745197296142,80.525,99.225
21,0.8153184818267822,83.44,99.2,1.475080030441284,80.60000000000001,99.2625
22,0.7863519223213196,83.34,99.42,1.45409801197052,80.875,99.325
23,0.7656220963478089,84.28,99.38,1.4374995250701905,80.9375,99.3375
24,0.745424748802185,84.2,99.42,1.4190076990127563,81.16250000000001,99.35000000000001
25,0.7366760729789734,83.52000000000001,99.33999999999999,1.4025026140213013,81.0875,99.3625
26,0.7170994510650635,83.39999999999999,99.24,1.3857117347717285,81.2625,99.3625
27,0.6940866159439087,84.7,99.5,1.370622797012329,81.2875,99.375
28,0.6919629066467285,84.06,99.28,1.357133222579956,81.6,99.38749999999999
29,0.6734722037315368,84.64,99.28,1.3448712224960326,81.3125,99.4
30,0.6642050458908081,84.17999999999999,99.28,1.332264588356018,81.5125,99.41250000000001
31,0.6622811601638794,83.52000000000001,99.36,1.3229667139053345,81.6,99.4
32,0.6436707684516907,84.2,99.38,1.307395610809326,81.75,99.425
33,0.6284469531059265,84.3,99.56,1.2958546113967895,81.7625,99.38749999999999
34,0.625880845451355,84.34,99.46000000000001,1.2874197111129762,81.625,99.4
35,0.6101801568031311,85.04,99.44,1.2744026861190796,81.875,99.375
36,0.594359105682373,85.02,99.53999999999999,1.2607554054260255,82.0375,99.38749999999999
37,0.5938352709770203,84.66,99.52,1.2540022830963136,82.0625,99.4
38,0.5917745595932007,84.86,99.4,1.246719612121582,82.025,99.38749999999999
39,0.5821160996437073,84.84,99.56,1.2324062976837158,81.9375,99.41250000000001
40,0.5748880784034729,84.82,99.32,1.222454221725464,82.175,99.38749999999999
41,0.5710795659065246,84.64,99.53999999999999,1.2201661710739136,82.15,99.3625
42,0.567002702999115,84.66,99.42,1.2068362731933593,82.5375,99.38749999999999
43,0.5608441215515136,84.78,99.32,1.201515947341919,82.375,99.3625
44,0.5359812728881836,85.82,99.66000000000001,1.1899815711975097,82.4125,99.375
45,0.5436428760528564,85.68,99.44,1.1851844396591187,82.4125,99.4
46,0.5403897270202637,85.08,99.3,1.1780760755538942,82.575,99.375
47,0.5392217435359955,84.86,99.4,1.1705868644714355,82.5,99.38749999999999
48,0.5359720094203949,84.58,99.58,1.1634352951049804,82.5625,99.41250000000001
49,0.5211987493515015,85.61999999999999,99.6,1.1571491575241089,82.575,99.4
50,0.5280253508090973,85.0,99.38,1.1525636119842528,82.78750000000001,99.425
51,0.5165058417320252,85.56,99.6,1.1425102405548095,82.7375,99.4375
52,0.5036860698699951,85.61999999999999,99.5,1.1345144500732423,82.8875,99.45
53,0.4980165102958679,85.74000000000001,99.46000000000001,1.1247358837127686,82.8125,99.45
54,0.503675221157074,85.11999999999999,99.56,1.122702067375183,82.825,99.425
55,0.5034103675842285,85.39999999999999,99.44,1.1186348485946656,82.8625,99.4375
56,0.5004815286159515,85.24000000000001,99.44,1.1121335020065308,82.9875,99.41250000000001
57,0.49233290033340454,85.64,99.52,1.106219783782959,83.05,99.41250000000001
58,0.4831447655677795,86.33999999999999,99.52,1.0997568349838256,82.9375,99.45
59,0.4949026760101318,85.82,99.6,1.1006921415328978,83.0,99.425
60,0.4855158269882202,86.0,99.58,1.0893584241867065,83.1125,99.4375
61,0.47568662967681885,86.58,99.5,1.0839851894378663,83.175,99.4375
62,0.4676999207496643,86.04,99.68,1.0798140392303466,83.0625,99.45
63,0.4779873286247253,85.74000000000001,99.66000000000001,1.0776025590896607,82.9375,99.45
64,0.4662654571056366,86.26,99.62,1.0716015605926514,83.125,99.4375
65,0.46651281657218935,86.14,99.62,1.0696470012664796,83.1625,99.46249999999999
66,0.4583287220001221,86.04,99.66000000000001,1.0656101865768433,83.22500000000001,99.45
67,0.4584460023403168,86.6,99.44,1.0567087631225587,83.25,99.45
68,0.47010446615219115,85.8,99.5,1.0547093677520751,83.26249999999999,99.47500000000001
69,0.4553971031188965,86.58,99.53999999999999,1.052298864364624,83.25,99.46249999999999
70,0.45542179169654845,86.02,99.52,1.042236050605774,83.6125,99.47500000000001
