epoch,train_loss,test_acc@1,test_acc@5
1,5.293757577696301,42.225,93.675
2,4.826159853684275,58.6875,97.2625
3,4.771193599700927,61.762499999999996,97.6625
4,4.749537806913077,65.1125,98.0125
5,4.731312639183468,66.0875,98.0875
6,4.709558345833603,67.83749999999999,98.2625
7,4.7036038080851235,68.7,98.41250000000001
8,4.682034615107945,68.77499999999999,98.5
9,4.678532238006592,69.4625,98.41250000000001
10,4.673528847694397,70.46249999999999,98.5375
11,4.6616191946226975,71.0125,98.6625
12,4.6555983283303,71.45,98.7625
13,4.65258057364102,72.225,98.6875
14,4.643300998501662,73.825,98.9
15,4.64274603465818,71.75,98.7125
16,4.643919054667155,72.85000000000001,98.6
17,4.633812708932846,72.3625,98.6375
18,4.633907571752021,72.1375,98.8125
19,4.631996188365238,72.725,98.675
20,4.627749775940517,73.575,99.0125
21,4.623903426859114,73.7125,98.925
22,4.616939772730288,73.6125,98.875
23,4.617843597166,74.4,98.91250000000001
24,4.618095388412476,73.2,98.675
25,4.612618161671198,74.2625,98.88749999999999
26,4.610560584068298,74.6375,99.175
27,4.613450231223271,74.5125,98.85000000000001
28,4.616752988836739,74.9875,99.0125
29,4.607374534606934,74.5625,99.0
30,4.610040483474731,74.8,98.95
31,4.600977091789246,75.175,98.875
32,4.6121180125645225,75.1375,99.0375
33,4.6064458751678465,74.8375,98.7875
34,4.607028651237488,74.425,99.0375
35,4.605106512705485,75.775,99.125
36,4.600796276872808,75.6375,99.05000000000001
37,4.601950973272324,75.775,99.1375
38,4.600315594673157,75.5125,99.1
39,4.595778841972351,74.0125,99.075
40,4.592310833930969,75.0625,99.1375
41,4.599948711395264,75.35,99.0625
42,4.59720899105072,75.3375,98.97500000000001
43,4.599029782452161,76.03750000000001,98.96249999999999
44,4.5941962683072655,76.71249999999999,99.1125
45,4.592749371528625,76.5625,99.1375
46,4.591093096733093,75.44999999999999,99.0125
47,4.593859170612536,75.8875,99.1625
48,4.590588365282331,76.05,99.225
49,4.59339542388916,75.775,99.15
50,4.593822264671326,77.325,99.2
51,4.589333243370056,76.47500000000001,99.1625
52,4.588132557868957,75.3,99.05000000000001
53,4.586618657112122,76.6,99.2625
54,4.590204153060913,76.11250000000001,99.25
55,4.592039896517384,77.03750000000001,99.1625
56,4.584720191955566,75.7625,99.1125
57,4.589341929084377,76.625,99.25
58,4.5870132189924995,78.025,99.3625
59,4.59016788482666,75.6375,99.1
60,4.583746252059936,77.275,99.2125
61,4.5849903781762285,77.4625,99.25
62,4.579810733795166,77.525,99.1875
63,4.589144492149353,77.1375,99.3
64,4.585684504508972,78.4875,99.225
65,4.588148999214172,77.325,99.1625
66,4.580712671081225,78.4875,99.275
67,4.585197448730469,77.225,99.2125
68,4.582306609153748,76.3875,99.125
69,4.580277142524719,77.7875,99.41250000000001
70,4.585395255088806,76.7875,99.1125
71,4.579945621036348,77.5625,99.375
72,4.579310126304627,77.03750000000001,99.3
73,4.5810620307922365,77.0,99.3375
74,4.579955153465271,76.9375,99.2375
75,4.5884348335912675,76.9,99.2625
76,4.578743467330932,78.325,99.3
77,4.5799387121200565,78.0625,99.2125
78,4.573168625831604,77.9625,99.3125
79,4.574429011344909,78.73750000000001,99.3
80,4.577625751495361,79.0875,99.3625
81,4.576289272308349,77.9,99.2875
82,4.578504064348009,77.7,99.4
83,4.570481319816745,77.47500000000001,99.3625
84,4.57708838780721,77.875,99.3125
85,4.578318653106689,78.73750000000001,99.3125
86,4.576002221107483,77.8375,99.3
87,4.572186132957196,77.3875,99.2
88,4.568873965221902,78.5,99.2875
89,4.572124977111816,79.0875,99.3
90,4.571539549827576,78.03750000000001,99.275
91,4.578847978022192,78.5125,99.3625
92,4.577983069419861,78.1625,99.2
93,4.5709609790724155,78.9875,99.25
94,4.572255902290344,77.8625,99.2875
95,4.57702686018863,77.225,99.275
96,4.574975714683533,78.8125,99.25
97,4.57355366230011,78.025,99.3
98,4.573449125289917,78.6875,99.2125
99,4.5740386009216305,77.325,99.2125
100,4.5707975243622405,76.775,99.2375
101,4.568804507162056,78.9625,99.2375
102,4.570234065055847,77.7,99.3
103,4.570616459846496,77.8625,99.2625
104,4.571278429031372,77.425,99.2
105,4.5763217780901035,78.125,99.2625
106,4.571589671648466,75.9875,99.3125
107,4.572205200195312,78.35,99.325
108,4.566824765205383,77.14999999999999,99.1625
109,4.5730495187971325,77.3625,99.3125
110,4.566690254211426,78.3625,99.3
111,4.570611038208008,79.03750000000001,99.35000000000001
112,4.56855793697078,77.85,99.2375
113,4.569841089702788,78.625,99.2875
114,4.565202702175487,78.5875,99.3125
115,4.570380935668945,77.725,99.2125
116,4.56500020980835,79.25,99.4
117,4.567118740081787,78.075,99.46249999999999
118,4.565334788235751,78.825,99.25
119,4.56559255917867,80.4375,99.4375
120,4.571868437987107,78.1875,99.35000000000001
121,4.568742669146994,78.625,99.3625
122,4.572119749509371,77.25,99.2875
123,4.566438215119498,77.375,99.3
124,4.57454890953867,78.3625,99.2125
125,4.568522095680237,78.4875,99.325
126,4.5665170844172085,79.0125,99.35000000000001
127,4.564128122329712,79.5125,99.425
128,4.568067855834961,79.475,99.3625
129,4.566403017044068,77.725,99.3
130,4.562279386520386,78.2875,99.45
131,4.567161998748779,78.60000000000001,99.2625
132,4.566066150007577,78.8,99.47500000000001
133,4.56695170879364,79.4875,99.38749999999999
134,4.56440342040289,78.66250000000001,99.375
135,4.567775155368604,79.21249999999999,99.4
136,4.564255863428116,79.07499999999999,99.3125
137,4.557527716566876,77.8875,99.325
138,4.565986478328705,78.525,99.375
139,4.562467209994793,79.6875,99.3375
140,4.5640857672389545,79.95,99.4375
141,4.565324122647205,79.5875,99.3
142,4.556167395218559,79.5,99.3625
143,4.565654691060384,79.80000000000001,99.41250000000001
144,4.563221107210432,78.1125,99.1875
145,4.562008252014985,79.625,99.3125
146,4.563423084762861,80.0875,99.3375
147,4.561200676737605,78.4625,99.275
148,4.566325235366821,77.4375,99.3
149,4.565679378509522,79.16250000000001,99.3125
150,4.561311265112648,79.9875,99.46249999999999
151,4.564657626152038,78.45,99.2875
152,4.56643837802815,78.3375,99.38749999999999
153,4.565955352783203,79.4125,99.3375
154,4.565937538536227,77.925,99.3625
155,4.561128410926232,79.7375,99.3375
156,4.5652302503585815,80.7625,99.46249999999999
157,4.56415134522973,79.23750000000001,99.41250000000001
158,4.561256321383194,78.6875,99.325
159,4.562075548905593,81.075,99.45
160,4.565318050838652,78.7625,99.3375
161,4.56672986092106,78.875,99.3375
162,4.559463489346388,78.66250000000001,99.325
163,4.557186906987971,78.9,99.35000000000001
164,4.56389398097992,79.27499999999999,99.4
165,4.560159504413605,78.825,99.325
